NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
5511 00,Allocated,Pulsant (Scotland) Limited,10 digit numbers,17/02/2009,
5511 01,Allocated,Voiceflex Limited,10 digit numbers,20/09/2007,
5511 02,Protected,,10 digit numbers,,
5511 03,Protected,,10 digit numbers,,
5511 04,Protected,,10 digit numbers,,
5511 05,Protected,,10 digit numbers,,
5511 06,Protected,,10 digit numbers,,
5511 07,Allocated,24 Seven Communications Limited,10 digit numbers,12/09/2011,
5511 08,Protected,,10 digit numbers,,
5511 09,Protected,,10 digit numbers,,
5511 10,Allocated,CFL Communications Ltd,10 digit numbers,07/04/2014,
5511 11,Protected,,10 digit numbers,,
5511 12,Protected,,10 digit numbers,,
5511 13,Protected,,10 digit numbers,,
5511 14,Protected,,10 digit numbers,,
5511 15,Protected,,10 digit numbers,,
5511 16,Protected,,10 digit numbers,,
5511 17,Protected,,10 digit numbers,,
5511 18,Protected,,10 digit numbers,,
5511 19,Protected,,10 digit numbers,,
5511 20,Protected,,10 digit numbers,,
5511 21,Protected,,10 digit numbers,,
5511 22,Protected,,10 digit numbers,,
5511 23,Protected,,10 digit numbers,,
5511 24,Protected,,10 digit numbers,,
5511 25,Protected,,10 digit numbers,,
5511 26,Protected,,10 digit numbers,,
5511 27,Protected,,10 digit numbers,,
5511 28,Protected,,10 digit numbers,,
5511 29,Protected,,10 digit numbers,,
5511 30,Protected,,10 digit numbers,,
5511 31,Protected,,10 digit numbers,,
5511 32,Protected,,10 digit numbers,,
5511 33,Protected,,10 digit numbers,,
5511 34,Protected,,10 digit numbers,,
5511 35,Protected,,10 digit numbers,,
5511 36,Protected,,10 digit numbers,,
5511 37,Protected,,10 digit numbers,,
5511 38,Protected,,10 digit numbers,,
5511 39,Protected,,10 digit numbers,,
5511 40,Allocated,BT,10 digit numbers,25/03/2004,
5511 41,Protected,,10 digit numbers,,
5511 42,Protected,,10 digit numbers,,
5511 43,Allocated,BT,10 digit numbers,30/05/2001,
5511 44,Allocated,BT,10 digit numbers,29/11/2000,
5511 45,Allocated,BT,10 digit numbers,25/03/2004,
5511 46,Allocated,BT,10 digit numbers,25/03/2004,
5511 47,Allocated,BT,10 digit numbers,25/03/2004,
5511 48,Allocated,BT,10 digit numbers,25/03/2004,
5511 49,Allocated,BT,10 digit numbers,25/03/2004,
5511 50,Protected,,10 digit numbers,,
5511 51,Protected,,10 digit numbers,,
5511 52,Protected,,10 digit numbers,,
5511 53,Protected,,10 digit numbers,,
5511 54,Protected,,10 digit numbers,,
5511 55,Protected,,10 digit numbers,,
5511 56,Protected,,10 digit numbers,,
5511 57,Protected,,10 digit numbers,,
5511 58,Protected,,10 digit numbers,,
5511 59,Protected,,10 digit numbers,,
5511 60,Protected,,10 digit numbers,,
5511 61,Protected,,10 digit numbers,,
5511 62,Protected,,10 digit numbers,,
5511 63,Protected,,10 digit numbers,,
5511 64,Protected,,10 digit numbers,,
5511 65,Protected,,10 digit numbers,,
5511 66,Protected,,10 digit numbers,,
5511 67,Protected,,10 digit numbers,,
5511 68,Protected,,10 digit numbers,,
5511 69,Protected,,10 digit numbers,,
5511 70,Protected,,10 digit numbers,,
5511 71,Protected,,10 digit numbers,,
5511 72,Protected,,10 digit numbers,,
5511 73,Protected,,10 digit numbers,,
5511 74,Protected,,10 digit numbers,,
5511 75,Protected,,10 digit numbers,,
5511 76,Protected,,10 digit numbers,,
5511 77,Protected,,10 digit numbers,,
5511 78,Protected,,10 digit numbers,,
5511 79,Protected,,10 digit numbers,,
5511 80,Protected,,10 digit numbers,,
5511 81,Protected,,10 digit numbers,,
5511 82,Protected,,10 digit numbers,,
5511 83,Protected,,10 digit numbers,,
5511 84,Protected,,10 digit numbers,,
5511 85,Protected,,10 digit numbers,,
5511 86,Protected,,10 digit numbers,,
5511 87,Protected,,10 digit numbers,,
5511 88,Protected,,10 digit numbers,,
5511 89,Protected,,10 digit numbers,,
5511 90,Protected,,10 digit numbers,,
5511 91,Protected,,10 digit numbers,,
5511 92,Protected,,10 digit numbers,,
5511 93,Protected,,10 digit numbers,,
5511 94,Protected,,10 digit numbers,,
5511 95,Protected,,10 digit numbers,,
5511 96,Protected,,10 digit numbers,,
5511 97,Protected,,10 digit numbers,,
5511 98,Protected,,10 digit numbers,,
5511 99,Protected,,10 digit numbers,,
5516 00,Protected,,10 digit numbers,,
5516 01,Protected,,10 digit numbers,,
5516 02,Protected,,10 digit numbers,,
5516 03,Protected,,10 digit numbers,,
5516 04,Protected,,10 digit numbers,,
5516 05,Protected,,10 digit numbers,,
5516 06,Protected,,10 digit numbers,,
5516 07,Protected,,10 digit numbers,,
5516 08,Protected,,10 digit numbers,,
5516 09,Protected,,10 digit numbers,,
5516 10,Protected,,10 digit numbers,,
5516 11,Protected,,10 digit numbers,,
5516 12,Protected,,10 digit numbers,,
5516 13,Protected,,10 digit numbers,,
5516 14,Protected,,10 digit numbers,,
5516 15,Protected,,10 digit numbers,,
5516 16,Protected,,10 digit numbers,,
5516 17,Protected,,10 digit numbers,,
5516 18,Protected,,10 digit numbers,,
5516 19,Protected,,10 digit numbers,,
5516 20,Protected,,10 digit numbers,,
5516 21,Protected,,10 digit numbers,,
5516 22,Protected,,10 digit numbers,,
5516 23,Protected,,10 digit numbers,,
5516 24,Protected,,10 digit numbers,,
5516 25,Protected,,10 digit numbers,,
5516 26,Protected,,10 digit numbers,,
5516 27,Protected,,10 digit numbers,,
5516 28,Protected,,10 digit numbers,,
5516 29,Protected,,10 digit numbers,,
5516 30,Protected,,10 digit numbers,,
5516 31,Protected,,10 digit numbers,,
5516 32,Protected,,10 digit numbers,,
5516 33,Protected,,10 digit numbers,,
5516 34,Protected,,10 digit numbers,,
5516 35,Protected,,10 digit numbers,,
5516 36,Protected,,10 digit numbers,,
5516 37,Protected,,10 digit numbers,,
5516 38,Protected,,10 digit numbers,,
5516 39,Protected,,10 digit numbers,,
5516 40,Protected,,10 digit numbers,,
5516 41,Protected,,10 digit numbers,,
5516 42,Protected,,10 digit numbers,,
5516 43,Protected,,10 digit numbers,,
5516 44,Protected,,10 digit numbers,,
5516 45,Protected,,10 digit numbers,,
5516 46,Protected,,10 digit numbers,,
5516 47,Protected,,10 digit numbers,,
5516 48,Protected,,10 digit numbers,,
5516 49,Protected,,10 digit numbers,,
5516 50,Allocated,BT,10 digit numbers,12/02/2002,
5516 51,Allocated,BT,10 digit numbers,08/08/2007,
5516 52,Protected,,10 digit numbers,,
5516 53,Protected,,10 digit numbers,,
5516 54,Allocated,BT,10 digit numbers,11/01/2011,
5516 55,Allocated,BT,10 digit numbers,12/02/2002,
5516 56,Protected,,10 digit numbers,,
5516 57,Allocated,BT,10 digit numbers,11/01/2011,
5516 58,Allocated,BT,10 digit numbers,11/01/2011,
5516 59,Protected,,10 digit numbers,,
5516 60,Allocated,BT,10 digit numbers,12/02/2002,
5516 61,Protected,,10 digit numbers,,
5516 62,Protected,,10 digit numbers,,
5516 63,Allocated,BT,10 digit numbers,18/04/2008,
5516 64,Allocated,BT,10 digit numbers,08/08/2007,
5516 65,Allocated,BT,10 digit numbers,12/02/2002,
5516 66,Protected,,10 digit numbers,,
5516 67,Protected,,10 digit numbers,,
5516 68,Protected,,10 digit numbers,,
5516 69,Protected,,10 digit numbers,,
5516 70,Protected,,10 digit numbers,,
5516 71,Protected,,10 digit numbers,,
5516 72,Protected,,10 digit numbers,,
5516 73,Protected,,10 digit numbers,,
5516 74,Protected,,10 digit numbers,,
5516 75,Protected,,10 digit numbers,,
5516 76,Protected,,10 digit numbers,,
5516 77,Protected,,10 digit numbers,,
5516 78,Protected,,10 digit numbers,,
5516 79,Protected,,10 digit numbers,,
5516 80,Protected,,10 digit numbers,,
5516 81,Protected,,10 digit numbers,,
5516 82,Protected,,10 digit numbers,,
5516 83,Protected,,10 digit numbers,,
5516 84,Protected,,10 digit numbers,,
5516 85,Protected,,10 digit numbers,,
5516 86,Protected,,10 digit numbers,,
5516 87,Protected,,10 digit numbers,,
5516 88,Protected,,10 digit numbers,,
5516 89,Protected,,10 digit numbers,,
5516 90,Protected,,10 digit numbers,,
5516 91,Protected,,10 digit numbers,,
5516 92,Protected,,10 digit numbers,,
5516 93,Protected,,10 digit numbers,,
5516 94,Protected,,10 digit numbers,,
5516 95,Protected,,10 digit numbers,,
5516 96,Protected,,10 digit numbers,,
5516 97,Protected,,10 digit numbers,,
5516 98,Protected,,10 digit numbers,,
5516 99,Protected,,10 digit numbers,,
5555 00,Allocated,FleXtel Limited,10 digit numbers,25/10/2004,
5555 01,Protected,,10 digit numbers,,
5555 02,Protected,,10 digit numbers,,
5555 03,Protected,,10 digit numbers,,
5555 04,Protected,,10 digit numbers,,
5555 05,Allocated,CFL Communications Ltd,10 digit numbers,07/04/2014,
5555 06,Protected,,10 digit numbers,,
5555 07,Protected,,10 digit numbers,,
5555 08,Protected,,10 digit numbers,,
5555 09,Protected,,10 digit numbers,,
5555 10,Allocated,FleXtel Limited,10 digit numbers,25/10/2004,
5555 11,Protected,,10 digit numbers,,
5555 12,Protected,,10 digit numbers,,
5555 13,Protected,,10 digit numbers,,
5555 14,Protected,,10 digit numbers,,
5555 15,Protected,,10 digit numbers,,
5555 16,Protected,,10 digit numbers,,
5555 17,Protected,,10 digit numbers,,
5555 18,Protected,,10 digit numbers,,
5555 19,Protected,,10 digit numbers,,
5555 20,Protected,,10 digit numbers,,
5555 21,Protected,,10 digit numbers,,
5555 22,Protected,,10 digit numbers,,
5555 23,Protected,,10 digit numbers,,
5555 24,Protected,,10 digit numbers,,
5555 25,Protected,,10 digit numbers,,
5555 26,Protected,,10 digit numbers,,
5555 27,Protected,,10 digit numbers,,
5555 28,Protected,,10 digit numbers,,
5555 29,Protected,,10 digit numbers,,
5555 30,Protected,,10 digit numbers,,
5555 31,Protected,,10 digit numbers,,
5555 32,Protected,,10 digit numbers,,
5555 33,Protected,,10 digit numbers,,
5555 34,Protected,,10 digit numbers,,
5555 35,Protected,,10 digit numbers,,
5555 36,Protected,,10 digit numbers,,
5555 37,Allocated,24 Seven Communications Limited,10 digit numbers,07/07/2010,
5555 38,Protected,,10 digit numbers,,
5555 39,Protected,,10 digit numbers,,
5555 40,Allocated,Andrews & Arnold Ltd,10 digit numbers,10/10/2006,
5555 41,Protected,,10 digit numbers,,
5555 42,Protected,,10 digit numbers,,
5555 43,Protected,,10 digit numbers,,
5555 44,Protected,,10 digit numbers,,
5555 45,Protected,,10 digit numbers,,
5555 46,Protected,,10 digit numbers,,
5555 47,Protected,,10 digit numbers,,
5555 48,Protected,,10 digit numbers,,
5555 49,Protected,,10 digit numbers,,
5555 50,Allocated,Nationwide Telephone Assistance Ltd,10 digit numbers,12/09/2006,
5555 51,Protected,,10 digit numbers,,
5555 52,Protected,,10 digit numbers,,
5555 53,Protected,,10 digit numbers,,
5555 54,Protected,,10 digit numbers,,
5555 55,Allocated,FleXtel Limited,10 digit numbers,27/07/2004,
5555 56,Allocated,Spacetel UK Ltd,10 digit numbers,29/09/2011,
5555 57,Protected,,10 digit numbers,,
5555 58,Protected,,10 digit numbers,,
5555 59,Protected,,10 digit numbers,,
5555 60,Protected,,10 digit numbers,,
5555 61,Protected,,10 digit numbers,,
5555 62,Protected,,10 digit numbers,,
5555 63,Protected,,10 digit numbers,,
5555 64,Protected,,10 digit numbers,,
5555 65,Protected,,10 digit numbers,,
5555 66,Quarantined,,10 digit numbers,,
5555 67,Protected,,10 digit numbers,,
5555 68,Protected,,10 digit numbers,,
5555 69,Protected,,10 digit numbers,,
5555 70,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 71,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 72,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 73,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 74,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 75,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 76,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 77,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 78,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 79,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 80,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 81,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 82,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 83,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 84,Allocated,Network Rail Infrastructure Limited,10 digit numbers,13/01/2005,
5555 85,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 86,Allocated,Network Rail Infrastructure Limited,10 digit numbers,13/01/2005,
5555 87,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 88,Allocated,Network Rail Infrastructure Limited,10 digit numbers,13/01/2005,
5555 89,Allocated,Network Rail Infrastructure Limited,10 digit numbers,13/01/2005,
5555 90,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 91,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 92,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 93,Allocated,Network Rail Infrastructure Limited,10 digit numbers,13/01/2005,
5555 94,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 95,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 96,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 97,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 98,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5555 99,Reserved,Network Rail Infrastructure Limited,10 digit numbers,,
5588 00,Protected,,10 digit numbers,,
5588 01,Protected,,10 digit numbers,,
5588 02,Protected,,10 digit numbers,,
5588 03,Protected,,10 digit numbers,,
5588 04,Protected,,10 digit numbers,,
5588 05,Protected,,10 digit numbers,,
5588 06,Protected,,10 digit numbers,,
5588 07,Protected,,10 digit numbers,,
5588 08,Protected,,10 digit numbers,,
5588 09,Protected,,10 digit numbers,,
5588 10,Protected,,10 digit numbers,,
5588 11,Protected,,10 digit numbers,,
5588 12,Protected,,10 digit numbers,,
5588 13,Protected,,10 digit numbers,,
5588 14,Protected,,10 digit numbers,,
5588 15,Protected,,10 digit numbers,,
5588 16,Protected,,10 digit numbers,,
5588 17,Protected,,10 digit numbers,,
5588 18,Protected,,10 digit numbers,,
5588 19,Protected,,10 digit numbers,,
5588 20,Protected,,10 digit numbers,,
5588 21,Protected,,10 digit numbers,,
5588 22,Protected,,10 digit numbers,,
5588 23,Protected,,10 digit numbers,,
5588 24,Protected,,10 digit numbers,,
5588 25,Protected,,10 digit numbers,,
5588 26,Protected,,10 digit numbers,,
5588 27,Protected,,10 digit numbers,,
5588 28,Protected,,10 digit numbers,,
5588 29,Protected,,10 digit numbers,,
5588 30,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 31,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 32,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 33,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 34,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 35,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 36,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 37,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 38,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 39,Allocated,Hutchison 3G UK Ltd,10 digit numbers,17/06/2002,
5588 40,Protected,,10 digit numbers,,
5588 41,Protected,,10 digit numbers,,
5588 42,Protected,,10 digit numbers,,
5588 43,Protected,,10 digit numbers,,
5588 44,Protected,,10 digit numbers,,
5588 45,Protected,,10 digit numbers,,
5588 46,Protected,,10 digit numbers,,
5588 47,Protected,,10 digit numbers,,
5588 48,Protected,,10 digit numbers,,
5588 49,Protected,,10 digit numbers,,
5588 50,Protected,,10 digit numbers,,
5588 51,Protected,,10 digit numbers,,
5588 52,Protected,,10 digit numbers,,
5588 53,Protected,,10 digit numbers,,
5588 54,Protected,,10 digit numbers,,
5588 55,Protected,,10 digit numbers,,
5588 56,Protected,,10 digit numbers,,
5588 57,Protected,,10 digit numbers,,
5588 58,Protected,,10 digit numbers,,
5588 59,Protected,,10 digit numbers,,
5588 60,Protected,,10 digit numbers,,
5588 61,Protected,,10 digit numbers,,
5588 62,Protected,,10 digit numbers,,
5588 63,Protected,,10 digit numbers,,
5588 64,Protected,,10 digit numbers,,
5588 65,Protected,,10 digit numbers,,
5588 66,Allocated,Business Broadcast Communications Limited,10 digit numbers,10/11/2009,
5588 67,Protected,,10 digit numbers,,
5588 68,Protected,,10 digit numbers,,
5588 69,Protected,,10 digit numbers,,
5588 70,Free,,10 digit numbers,,
5588 71,Free,,10 digit numbers,,
5588 72,Free,,10 digit numbers,,
5588 73,Free,,10 digit numbers,,
5588 74,Free,,10 digit numbers,,
5588 75,Free,,10 digit numbers,,
5588 76,Free,,10 digit numbers,,
5588 77,Allocated,Voicetec Systems Ltd,10 digit numbers,13/09/2011,
5588 78,Free,,10 digit numbers,,
5588 79,Free,,10 digit numbers,,
5588 80,Allocated,FleXtel Limited,10 digit numbers,25/10/2004,
5588 81,Protected,,10 digit numbers,,
5588 82,Protected,,10 digit numbers,,
5588 83,Protected,,10 digit numbers,,
5588 84,Protected,,10 digit numbers,,
5588 85,Protected,,10 digit numbers,,
5588 86,Protected,,10 digit numbers,,
5588 87,Protected,,10 digit numbers,,
5588 88,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,10/11/2009,
5588 89,Protected,,10 digit numbers,,
5588 90,Protected,,10 digit numbers,,
5588 91,Protected,,10 digit numbers,,
5588 92,Protected,,10 digit numbers,,
5588 93,Protected,,10 digit numbers,,
5588 94,Protected,,10 digit numbers,,
5588 95,Protected,,10 digit numbers,,
5588 96,Protected,,10 digit numbers,,
5588 97,Protected,,10 digit numbers,,
5588 98,Protected,,10 digit numbers,,
5588 99,Protected,,10 digit numbers,,
5600 00,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 01,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 02,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 03,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 04,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 05,Allocated,Group 3 Technology Limited,10 digit numbers,13/07/2011,
5600 06,Allocated,Barritel Limited,10 digit numbers,08/10/2004,
5600 07,Protected,,10 digit numbers,,
5600 08,Allocated,Numbers Plus Ltd,10 digit numbers,28/07/2011,
5600 09,Protected,,10 digit numbers,,
5600 10,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,25/03/2014,
5600 11,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 12,Protected,,10 digit numbers,,
5600 13,Protected,,10 digit numbers,,
5600 14,Protected,,10 digit numbers,,
5600 15,Allocated,BT,10 digit numbers,14/08/2007,
5600 16,Allocated,Icron Network Limited,10 digit numbers,07/08/2006,
5600 17,Protected,,10 digit numbers,,
5600 18,Protected,,10 digit numbers,,
5600 19,Allocated,BT,10 digit numbers,14/08/2007,
5600 20,Allocated,Mobiweb Telecom Limited,10 digit numbers,09/03/2015,
5600 21,Protected,,10 digit numbers,,
5600 22,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 23,Allocated,Magrathea Telecommunications Limited,10 digit numbers,22/02/2017,
5600 24,Allocated,24 Seven Communications Limited,10 digit numbers,10/06/2008,
5600 25,Allocated,BT,10 digit numbers,05/07/2007,
5600 26,Protected,,10 digit numbers,,
5600 27,Allocated,BT,10 digit numbers,05/07/2007,
5600 28,Allocated,BT,10 digit numbers,05/07/2007,
5600 29,Protected,,10 digit numbers,,
5600 30,Allocated,Nexus Telecommunications Limited,10 digit numbers,18/07/2005,
5600 31,Protected,,10 digit numbers,,
5600 32,Protected,,10 digit numbers,,
5600 33,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 34,Allocated,BT,10 digit numbers,05/07/2007,
5600 35,Allocated,Nationwide Telephone Assistance Ltd,10 digit numbers,02/09/2005,
5600 36,Allocated,Square Systems Limited,10 digit numbers,07/09/2006,
5600 37,Allocated,BT,10 digit numbers,05/07/2007,
5600 38,Allocated,Vodafone Ltd (C&W),10 digit numbers,10/10/2013,
5600 39,Quarantined,,10 digit numbers,,
5600 40,Protected,,10 digit numbers,,
5600 41,Protected,,10 digit numbers,,
5600 42,Protected,,10 digit numbers,,
5600 43,Allocated,BT,10 digit numbers,25/10/2004,
5600 44,Protected,,10 digit numbers,,
5600 45,Allocated,Vodafone Ltd (C&W),10 digit numbers,10/10/2013,
5600 46,Allocated,BT,10 digit numbers,25/10/2004,
5600 47,Allocated,BT,10 digit numbers,25/10/2004,
5600 48,Allocated,BT,10 digit numbers,25/10/2004,
5600 49,Allocated,BT,10 digit numbers,25/10/2004,
5600 50,Allocated,Atomstream Limited,10 digit numbers,01/04/2011,
5600 51,Allocated,Suretec Systems Ltd,10 digit numbers,29/04/2010,
5600 52,Protected,,10 digit numbers,,
5600 53,Allocated,BT,10 digit numbers,05/07/2007,
5600 54,Protected,,10 digit numbers,,
5600 55,Allocated,Lanonyx Telecom Limited,10 digit numbers,13/04/2015,
5600 56,Allocated,Invade International Ltd,10 digit numbers,13/01/2016,
5600 57,Allocated,Colt Technology Services,10 digit numbers,07/10/2004,
5600 58,Allocated,BT,10 digit numbers,05/07/2007,
5600 59,Free,,10 digit numbers,,
5600 60,Allocated,Citrus Telecommunications Ltd,10 digit numbers,26/11/2010,
5600 61,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 62,Allocated,DRD Communications Limited,10 digit numbers,12/10/2004,
5600 63,Protected,,10 digit numbers,,
5600 64,Protected,,10 digit numbers,,
5600 65,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 66,Allocated,Barritel Limited,10 digit numbers,08/10/2004,
5600 67,Allocated,Pulsant (Scotland) Limited,10 digit numbers,17/02/2009,
5600 68,Allocated,BT,10 digit numbers,05/07/2007,
5600 69,Protected,,10 digit numbers,,
5600 70,Allocated,BT,10 digit numbers,08/10/2004,
5600 71,Allocated,BT,10 digit numbers,28/07/2005,
5600 72,Allocated,BT,10 digit numbers,28/07/2005,
5600 73,Allocated,BT,10 digit numbers,28/07/2005,
5600 74,Allocated,BT,10 digit numbers,28/07/2005,
5600 75,Allocated,BT,10 digit numbers,28/07/2005,
5600 76,Allocated,BT,10 digit numbers,28/07/2005,
5600 77,Allocated,FleXtel Limited,10 digit numbers,28/09/2004,
5600 78,Allocated,FleXtel Limited,10 digit numbers,28/09/2004,
5600 79,Allocated,BT,10 digit numbers,05/07/2007,
5600 80,Allocated,BT,10 digit numbers,08/10/2004,
5600 81,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 82,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 83,Allocated,BT,10 digit numbers,05/07/2007,
5600 84,Allocated,42 Telecom UK Limited,10 digit numbers,11/07/2011,
5600 85,Allocated,BT,10 digit numbers,14/08/2007,
5600 86,Allocated,Icron Network Limited,10 digit numbers,07/08/2006,
5600 87,Allocated,BT,10 digit numbers,14/08/2007,
5600 88,Allocated,Callmonitor Limited,10 digit numbers,27/09/2004,
5600 89,Allocated,BT,10 digit numbers,14/08/2007,
5600 90,Allocated,AQL Wholesale Ltd,10 digit numbers,20/10/2004,
5600 91,Allocated,AQL Wholesale Ltd,10 digit numbers,20/10/2004,
5600 92,Allocated,BT,10 digit numbers,14/08/2007,
5600 93,Allocated,BT,10 digit numbers,14/08/2007,
5600 94,Allocated,BT,10 digit numbers,14/08/2007,
5600 95,Allocated,TalkTalk Communications Limited,10 digit numbers,07/02/2005,
5600 96,Protected,,10 digit numbers,,
5600 97,Protected,,10 digit numbers,,
5600 98,Allocated,BT,10 digit numbers,14/08/2007,
5600 99,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,15/12/2004,
